name,birthday,nationality
Tom Hanks, 1956-07-09,USA
Julia Roberts, 1967-10-28,USA
Wagner Moura,1976-06-27,BRAZIL
Sandra Bullock,1964-07-26,USA
Camila Mendes,1994-06-29,BRAZIL
Denzel Washington,1954-12-28,USA
